Restaurants_Name,url,photos_count,stars,review_count,claimed,address,hours,attributes,categories
Stadtklause,https://www.yelp.co.uk/biz/stadtklause-berlin,265.0,4.5,172,0,Bernburger Str. 3510963 Berlin,"{'Monday': '4:00 PM - 12:00 AM (Next day)', 'Tuesday': '4:00 PM - 12:00 AM (Next day)', 'Wednesday': '4:00 PM - 12:00 AM (Next day)', 'Thursday': '4:00 PM - 12:00 AM (Next day)', 'Friday': '4:00 PM - 12:00 AM (Next day)'}","No Reservations,No Delivery,No Takeout,Many Vegetarian Options",German
LorenzAdlonEsszimmer,https://www.yelp.co.uk/biz/lorenz-adlon-esszimmer-berlin,140.0,5.0,67,1,Unter den Linden 7710117 Berlin,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': 'Closed', 'Friday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards",Modern European
MomotaroTavern,https://www.yelp.co.uk/biz/momotaro-tavern-berlin,123.0,4.5,58,1,Panoramastr. 1 A10178 Berlin,"{'Monday': '12:00 PM - 10:00 PM', 'Tuesday': '12:00 PM - 10:00 PM', 'Wednesday': '12:00 PM - 10:00 PM', 'Thursday': '12:00 PM - 10:00 PM', 'Friday': '12:00 PM - 10:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards","Burgers,Asian Fusion"
FACTORYGIRL,https://www.yelp.co.uk/biz/factory-girl-berlin-2,619.0,4.0,262,1,Auguststr. 29 C10119 Berlin,"{'Monday': '10:00 AM - 3:00 PM', 'Tuesday': '10:00 AM - 3:00 PM', 'Wednesday': '10:00 AM - 3:00 PM', 'Thursday': '10:00 AM - 3:00 PM', 'Friday': '10:00 AM - 3:00 PM'}","Offers Takeout,No Reservations,No Delivery,Accepts Debit Cards","Breakfast & Brunch,Cafes,Desserts"
Muse,https://www.yelp.co.uk/biz/muse-berlin-2,126.0,4.5,60,1,Immanuelkirchstr. 3110405 Berlin,"{'Monday': '10:30 AM - 4:00 PM', 'Tuesday': '10:30 AM - 4:00 PM', 'Wednesday': '10:30 AM - 4:00 PM', 'Thursday': '10:30 AM - 4:00 PM', 'Friday': '10:30 AM - 4:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards","International,Sandwiches,Burgers"
CocoloRamen,https://www.yelp.co.uk/biz/cocolo-ramen-berlin,287.0,4.0,293,1,Gipsstr. 310119 Berlin,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': 'Closed', 'Friday': 'Closed'}","No Reservations,No Delivery,No Takeout,Outdoor Seating",Ramen
CanaRestaurant,https://www.yelp.co.uk/biz/cana-restaurant-berlin,50.0,4.5,49,0,Neue Roßstr. 11 - 1210179 Berlin,"{'Monday': '11:30 AM - 11:30 PM', 'Tuesday': '11:30 AM - 11:30 PM', 'Wednesday': '11:30 AM - 11:30 PM', 'Thursday': '11:30 AM - 11:30 PM', 'Friday': '11:30 AM - 11:30 PM'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards",Arabian
CafBondi,https://www.yelp.co.uk/biz/caf%C3%A9-bondi-berlin-2,105.0,4.5,109,0,Eichendorffstr. 610115 Berlin,"{'Monday': '9:00 AM - 6:00 PM', 'Tuesday': '9:00 AM - 6:00 PM', 'Wednesday': '9:00 AM - 6:00 PM', 'Thursday': '9:00 AM - 6:00 PM', 'Friday': '9:00 AM - 6:00 PM'}","Offers Takeout,No Reservations,No Delivery,Many Vegetarian Options","Breakfast & Brunch,Cafes"
JOSEPH,https://www.yelp.co.uk/biz/joseph-berlin-4,,4.0,5,1,Friedrichstr. 11310117 Berlin,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': 'Closed', 'Thursday': 'Closed', 'Friday': 'Closed'}",Classy,
Burgermeister,https://www.yelp.co.uk/biz/burgermeister-berlin,406.0,4.0,714,1,Oberbaumstr. 810997 Berlin,"{'Monday': '12:00 PM - 3:00 AM (Next day)', 'Tuesday': '12:00 PM - 3:00 AM (Next day)', 'Wednesday': '12:00 PM - 3:00 AM (Next day)', 'Thursday': '12:00 PM - 3:00 AM (Next day)', 'Friday': '12:00 PM - 3:00 AM (Next day)'}","Offers Takeout,No Reservations,No Delivery,Outdoor Seating","Takeaway & Fast Food,Burgers"
AignerGendarmenmarkt,https://www.yelp.co.uk/biz/aigner-gendarmenmarkt-berlin-2,130.0,4.0,120,1,Französischestr. 2510117 Berlin,"{'Monday': '12:00 PM - 2:00 AM (Next day)', 'Tuesday': '12:00 PM - 2:00 AM (Next day)', 'Wednesday': '12:00 PM - 2:00 AM (Next day)', 'Thursday': '12:00 PM - 2:00 AM (Next day)', 'Friday': '12:00 PM - 2:00 AM (Next day)'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards","German,Austrian"
SouthernVittles,https://www.yelp.co.uk/biz/southern-vittles-berlin-2,15.0,4.5,10,0,Lychener Str. 610437 Berlin,"{'Monday': '10:00 AM - 3:00 PM', 'Tuesday': '10:00 AM - 3:00 PM', 'Wednesday': '10:00 AM - 3:00 PM', 'Thursday': '10:00 AM - 3:00 PM', 'Friday': '10:00 AM - 3:00 PM'}","No Delivery,Good for Groups,Good For Kids",American (Traditional)
AmmAmma,https://www.yelp.co.uk/biz/ammamma-berlin,62.0,4.5,138,1,Urbanstr. 28 a10967 Berlin,"{'Monday': '12:00 PM - 12:00 AM (Next day)', 'Tuesday': '12:00 PM - 12:00 AM (Next day)', 'Wednesday': '12:00 PM - 12:00 AM (Next day)', 'Thursday': '12:00 PM - 12:00 AM (Next day)', 'Friday': '12:00 PM - 12:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating",Indian
MuckrakersPizza,https://www.yelp.co.uk/biz/muckrakers-pizza-berlin,34.0,4.5,15,0,Marienstr. 1810117 Berlin,{},"Offers Takeout,No Reservations,No Delivery,Outdoor Seating",Pizza
